from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
0,generation,2,demand,87899.171,59.0,347.45762711864404,20.342988572340808,gen0,dem2,Generation cluster 0 to Demand cluster 2,,,,,20.342988572340808,0.0,0.0,False,[]
0,generation,4,demand,49647.159,67.0,241.49253731343285,301.43500048872187,gen0,dem4,Generation cluster 0 to Demand cluster 4,,,,,301.43500048872187,0.0,0.0,False,[]
1,generation,1,demand,83475.16100000001,68.0,302.3529411764706,143.01262022322962,gen1,dem1,Generation cluster 1 to Demand cluster 1,,,,,143.01262022322962,0.0,0.0,False,[]
1,generation,4,demand,79944.893,56.0,320.0,236.17203983304253,gen1,dem4,Generation cluster 1 to Demand cluster 4,,,,,236.17203983304253,0.0,0.0,False,[]
1,renewable,3,demand,14255.123,12.0,293.3333333333333,74.69227242734003,sol1,dem3,Renewable cluster 1 to Demand cluster 3,,,,,74.69227242734003,0.0,0.0,False,[]
1,renewable,4,generation,3440.892,6.0,220.0,80.86317536608212,sol1,gen4,Renewable cluster 1 to Generation cluster 4,,,,,80.86317536608212,0.0,0.0,False,[]
2,generation,0,demand,62561.681,56.0,285.7142857142857,72.19114516434527,gen2,dem0,Generation cluster 2 to Demand cluster 0,,,,,72.19114516434527,0.0,0.0,False,[]
2,generation,2,demand,1698.103,1.0,380.0,442.5731248202389,gen2,dem2,Generation cluster 2 to Demand cluster 2,,,,,442.5731248202389,0.0,0.0,False,[]
2,renewable,3,demand,983.112,2.0,220.0,32.972176925916884,sol2,dem3,Renewable cluster 2 to Demand cluster 3,,,,,32.972176925916884,0.0,0.0,False,[]
3,generation,4,demand,8803.322,13.0,244.6153846153846,364.40475363896525,gen3,dem4,Generation cluster 3 to Demand cluster 4,,,,,364.40475363896525,0.0,0.0,False,[]
3,renewable,3,demand,1698.103,1.0,380.0,146.38666256346787,sol3,dem3,Renewable cluster 3 to Demand cluster 3,,,,,146.38666256346787,0.0,0.0,False,[]
3,renewable,4,generation,1698.103,1.0,380.0,190.24453444563807,sol3,gen4,Renewable cluster 3 to Generation cluster 4,,,,,190.24453444563807,0.0,0.0,False,[]
4,generation,1,demand,85441.381,86.0,266.51162790697674,175.78932397805,gen4,dem1,Generation cluster 4 to Demand cluster 1,,,,,175.78932397805,0.0,0.0,False,[]
4,generation,3,demand,202252.979,183.0,282.07650273224044,51.01665003600211,gen4,dem3,Generation cluster 4 to Demand cluster 3,,,,,51.01665003600211,0.0,0.0,False,[]
4,renewable,4,generation,5094.309,3.0,380.0,156.68055108056743,sol4,gen4,Renewable cluster 4 to Generation cluster 4,,,,,156.68055108056743,0.0,0.0,False,[]
6,renewable,1,demand,3440.892,5.0,220.0,200.28554525350407,sol6,dem1,Renewable cluster 6 to Demand cluster 1,,,,,200.28554525350407,0.0,0.0,False,[]
6,renewable,4,generation,18679.133,11.0,380.0,52.01572156154224,sol6,gen4,Renewable cluster 6 to Generation cluster 4,,,,,52.01572156154224,0.0,0.0,False,[]
8,renewable,1,demand,6792.412,4.0,380.0,203.35899317649958,sol8,dem1,Renewable cluster 8 to Demand cluster 1,,,,,203.35899317649958,0.0,0.0,False,[]
8,renewable,4,demand,3396.206,2.0,380.0,246.41779179034552,sol8,dem4,Renewable cluster 8 to Demand cluster 4,,,,,246.41779179034552,0.0,0.0,False,[]
14,renewable,2,demand,1698.103,1.0,380.0,181.094687448731,sol14,dem2,Renewable cluster 14 to Demand cluster 2,,,,,181.094687448731,0.0,0.0,False,[]
17,renewable,1,demand,19438.808,13.0,318.46153846153845,188.06346323970314,sol17,dem1,Renewable cluster 17 to Demand cluster 1,,,,,188.06346323970314,0.0,0.0,False,[]
19,renewable,4,demand,13584.821,5.0,380.0,155.48728030139202,sol19,dem4,Renewable cluster 19 to Demand cluster 4,,,,,155.48728030139202,0.0,0.0,False,[]
20,renewable,4,demand,14121.065,13.0,281.53846153846155,104.60580465444113,sol20,dem4,Renewable cluster 20 to Demand cluster 4,,,,,104.60580465444113,0.0,0.0,False,[]
29,renewable,1,demand,3396.206,2.0,380.0,147.12829185282376,won5,dem1,Renewable cluster 29 to Demand cluster 1,,,,,147.12829185282376,0.0,0.0,False,[]
34,renewable,0,generation,3396.206,2.0,380.0,184.55733187147203,won10,gen0,Renewable cluster 34 to Generation cluster 0,,,,,184.55733187147203,0.0,0.0,False,[]
34,renewable,2,demand,1698.103,1.0,380.0,198.53622496982373,won10,dem2,Renewable cluster 34 to Demand cluster 2,,,,,198.53622496982373,0.0,0.0,False,[]
40,renewable,0,demand,5853.986,6.0,273.3333333333333,90.25977628813318,won16,dem0,Renewable cluster 40 to Demand cluster 0,,,,,90.25977628813318,0.0,0.0,False,[]
10,renewable,3,generation,0.0,,0.0,29.001919535328533,sol10,gen3,Potential connection: Renewable cluster 10 to Generation cluster 3,potential_renewable10-generation3,renewable10,generation3,potential,29.001919535328533,0.0,0.0,False,[]
11,renewable,3,generation,0.0,,0.0,141.46502326421177,sol11,gen3,Potential connection: Renewable cluster 11 to Generation cluster 3,potential_renewable11-generation3,renewable11,generation3,potential,141.46502326421177,0.0,0.0,False,[]
12,renewable,2,generation,0.0,,0.0,69.76543816383432,sol12,gen2,Potential connection: Renewable cluster 12 to Generation cluster 2,potential_renewable12-generation2,renewable12,generation2,potential,69.76543816383432,0.0,0.0,False,[]
13,renewable,0,demand,0.0,,0.0,59.86040138895749,sol13,dem0,Potential connection: Renewable cluster 13 to Demand cluster 0,potential_renewable13-demand0,renewable13,demand0,potential,59.86040138895749,0.0,0.0,False,[]
15,renewable,2,demand,0.0,,0.0,96.61208987417906,sol15,dem2,Potential connection: Renewable cluster 15 to Demand cluster 2,potential_renewable15-demand2,renewable15,demand2,potential,96.61208987417906,0.0,0.0,False,[]
16,renewable,0,generation,0.0,,0.0,34.44220549496608,sol16,gen0,Potential connection: Renewable cluster 16 to Generation cluster 0,potential_renewable16-generation0,renewable16,generation0,potential,34.44220549496608,0.0,0.0,False,[]
18,renewable,1,demand,0.0,,0.0,132.90690875033877,sol18,dem1,Potential connection: Renewable cluster 18 to Demand cluster 1,potential_renewable18-demand1,renewable18,demand1,potential,132.90690875033877,0.0,0.0,False,[]
21,renewable,4,demand,0.0,,0.0,62.68318325531793,sol21,dem4,Potential connection: Renewable cluster 21 to Demand cluster 4,potential_renewable21-demand4,renewable21,demand4,potential,62.68318325531793,0.0,0.0,False,[]
22,renewable,1,demand,0.0,,0.0,24.29148143608446,sol22,dem1,Potential connection: Renewable cluster 22 to Demand cluster 1,potential_renewable22-demand1,renewable22,demand1,potential,24.29148143608446,0.0,0.0,False,[]
23,renewable,1,generation,0.0,,0.0,50.596472430470996,sol23,gen1,Potential connection: Renewable cluster 23 to Generation cluster 1,potential_renewable23-generation1,renewable23,generation1,potential,50.596472430470996,0.0,0.0,False,[]
24,renewable,1,generation,0.0,,0.0,67.19310173449207,won0,gen1,Potential connection: Renewable cluster 24 to Generation cluster 1,potential_renewable24-generation1,renewable24,generation1,potential,67.19310173449207,0.0,0.0,False,[]
25,renewable,1,demand,0.0,,0.0,142.71720067383376,won1,dem1,Potential connection: Renewable cluster 25 to Demand cluster 1,potential_renewable25-demand1,renewable25,demand1,potential,142.71720067383376,0.0,0.0,False,[]
26,renewable,1,generation,0.0,,0.0,170.2035850388626,won2,gen1,Potential connection: Renewable cluster 26 to Generation cluster 1,potential_renewable26-generation1,renewable26,generation1,potential,170.2035850388626,12.014370708625595,0.07058823529411765,False,['ocean']
27,renewable,1,generation,0.0,,0.0,126.34659805910282,won3,gen1,Potential connection: Renewable cluster 27 to Generation cluster 1,potential_renewable27-generation1,renewable27,generation1,potential,126.34659805910282,0.0,0.0,False,[]
28,renewable,3,demand,0.0,,0.0,78.61934446983066,won4,dem3,Potential connection: Renewable cluster 28 to Demand cluster 3,potential_renewable28-demand3,renewable28,demand3,potential,78.61934446983066,0.0,0.0,False,[]
30,renewable,1,generation,0.0,,0.0,67.45556358205273,won6,gen1,Potential connection: Renewable cluster 30 to Generation cluster 1,potential_renewable30-generation1,renewable30,generation1,potential,67.45556358205273,0.0,0.0,False,[]
31,renewable,1,generation,0.0,,0.0,36.65393912871793,won7,gen1,Potential connection: Renewable cluster 31 to Generation cluster 1,potential_renewable31-generation1,renewable31,generation1,potential,36.65393912871793,0.0,0.0,False,[]
32,renewable,1,generation,0.0,,0.0,114.4526363579775,won8,gen1,Potential connection: Renewable cluster 32 to Generation cluster 1,potential_renewable32-generation1,renewable32,generation1,potential,114.4526363579775,0.0,0.0,False,[]
33,renewable,1,generation,0.0,,0.0,37.31275119273412,won9,gen1,Potential connection: Renewable cluster 33 to Generation cluster 1,potential_renewable33-generation1,renewable33,generation1,potential,37.31275119273412,0.0,0.0,False,[]
35,renewable,0,generation,0.0,,0.0,4.675535584727488,won11,gen0,Potential connection: Renewable cluster 35 to Generation cluster 0,potential_renewable35-generation0,renewable35,generation0,potential,4.675535584727488,0.0,0.0,False,[]
36,renewable,0,generation,0.0,,0.0,111.48471188707347,won12,gen0,Potential connection: Renewable cluster 36 to Generation cluster 0,potential_renewable36-generation0,renewable36,generation0,potential,111.48471188707347,0.0,0.0,False,[]
37,renewable,0,generation,0.0,,0.0,135.21079646359763,won13,gen0,Potential connection: Renewable cluster 37 to Generation cluster 0,potential_renewable37-generation0,renewable37,generation0,potential,135.21079646359763,8.07228635603568,0.05970149253731343,False,['ocean']
38,renewable,4,demand,0.0,,0.0,18.64653023082469,won14,dem4,Potential connection: Renewable cluster 38 to Demand cluster 4,potential_renewable38-demand4,renewable38,demand4,potential,18.64653023082469,0.0,0.0,False,[]
39,renewable,3,generation,0.0,,0.0,18.303336335511617,won15,gen3,Potential connection: Renewable cluster 39 to Generation cluster 3,potential_renewable39-generation3,renewable39,generation3,potential,18.303336335511617,0.0,0.0,False,[]
41,renewable,0,demand,0.0,,0.0,17.853262617553384,won17,dem0,Potential connection: Renewable cluster 41 to Demand cluster 0,potential_renewable41-demand0,renewable41,demand0,potential,17.853262617553384,0.0,0.0,False,[]
42,renewable,0,demand,0.0,,0.0,122.04285524321169,won18,dem0,Potential connection: Renewable cluster 42 to Demand cluster 0,potential_renewable42-demand0,renewable42,demand0,potential,122.04285524321169,20.007025449706834,0.16393442622950818,True,['ocean']
43,renewable,0,demand,0.0,,0.0,199.7649705764223,wof0,dem0,Potential connection: Renewable cluster 43 to Demand cluster 0,potential_renewable43-demand0,renewable43,demand0,potential,199.7649705764223,64.57049553985367,0.32323232323232326,True,['ocean']
44,renewable,0,generation,0.0,,0.0,225.90633990333546,wof1,gen0,Potential connection: Renewable cluster 44 to Generation cluster 0,potential_renewable44-generation0,renewable44,generation0,potential,225.90633990333546,104.88508638369147,0.4642857142857143,True,['ocean']
45,renewable,1,generation,0.0,,0.0,153.8582525572126,wof2,gen1,Potential connection: Renewable cluster 45 to Generation cluster 1,potential_renewable45-generation1,renewable45,generation1,potential,153.8582525572126,85.0269290447754,0.5526315789473685,True,['ocean']
46,renewable,2,demand,0.0,,0.0,111.31321473195483,wof3,dem2,Potential connection: Renewable cluster 46 to Demand cluster 2,potential_renewable46-demand2,renewable46,demand2,potential,111.31321473195483,56.668545681722456,0.509090909090909,True,['ocean']
47,renewable,2,demand,0.0,,0.0,200.1884065953571,wof4,dem2,Potential connection: Renewable cluster 47 to Demand cluster 2,potential_renewable47-demand2,renewable47,demand2,potential,200.1884065953571,168.15826154009994,0.84,True,['ocean']
48,renewable,2,demand,0.0,,0.0,148.24771483421821,wof5,dem2,Potential connection: Renewable cluster 48 to Demand cluster 2,potential_renewable48-demand2,renewable48,demand2,potential,148.24771483421821,24.04016997311647,0.16216216216216217,True,['ocean']
49,renewable,3,generation,0.0,,0.0,110.09536900465511,wof6,gen3,Potential connection: Renewable cluster 49 to Generation cluster 3,potential_renewable49-generation3,renewable49,generation3,potential,110.09536900465511,30.026009728542302,0.2727272727272727,True,['ocean']
5,renewable,4,generation,0.0,,0.0,171.87529572726737,sol5,gen4,Potential connection: Renewable cluster 5 to Generation cluster 4,potential_renewable5-generation4,renewable5,generation4,potential,171.87529572726737,0.0,0.0,False,[]
50,renewable,3,generation,0.0,,0.0,112.39056282801008,wof7,gen3,Potential connection: Renewable cluster 50 to Generation cluster 3,potential_renewable50-generation3,renewable50,generation3,potential,112.39056282801008,34.11856371564591,0.30357142857142855,True,['ocean']
51,renewable,4,demand,0.0,,0.0,137.76966742011598,wof8,dem4,Potential connection: Renewable cluster 51 to Demand cluster 4,potential_renewable51-demand4,renewable51,demand4,potential,137.76966742011598,70.91085823094204,0.5147058823529411,True,['ocean']
52,renewable,1,generation,0.0,,0.0,215.39074449323311,wof9,gen1,Potential connection: Renewable cluster 52 to Generation cluster 1,potential_renewable52-generation1,renewable52,generation1,potential,215.39074449323311,60.38992836258872,0.2803738317757009,True,['ocean']
53,renewable,3,demand,0.0,,0.0,210.24022738651155,wof10,dem3,Potential connection: Renewable cluster 53 to Demand cluster 3,potential_renewable53-demand3,renewable53,demand3,potential,210.24022738651155,116.13269703254925,0.5523809523809524,True,['ocean']
54,renewable,3,demand,0.0,,0.0,135.99132561543897,wof11,dem3,Potential connection: Renewable cluster 54 to Demand cluster 3,potential_renewable54-demand3,renewable54,demand3,potential,135.99132561543897,50.74303194605932,0.373134328358209,True,['ocean']
55,renewable,4,demand,0.0,,0.0,104.08281982810738,wof12,dem4,Potential connection: Renewable cluster 55 to Demand cluster 4,potential_renewable55-demand4,renewable55,demand4,potential,104.08281982810738,72.05733680407434,0.6923076923076923,True,['ocean']
56,renewable,0,demand,0.0,,0.0,142.1799429130616,wof13,dem0,Potential connection: Renewable cluster 56 to Demand cluster 0,potential_renewable56-demand0,renewable56,demand0,potential,142.1799429130616,96.12165154685854,0.676056338028169,True,['ocean']
57,renewable,2,generation,0.0,,0.0,124.12285234654287,wof14,gen2,Potential connection: Renewable cluster 57 to Generation cluster 2,potential_renewable57-generation2,renewable57,generation2,potential,124.12285234654287,28.027740852445163,0.22580645161290322,True,['ocean']
58,renewable,2,generation,0.0,,0.0,218.14481528537783,wof15,gen2,Potential connection: Renewable cluster 58 to Generation cluster 2,potential_renewable58-generation2,renewable58,generation2,potential,218.14481528537783,126.08370057778718,0.5779816513761468,True,['ocean']
59,renewable,3,generation,0.0,,0.0,123.57685323526859,wof16,gen3,Potential connection: Renewable cluster 59 to Generation cluster 3,potential_renewable59-generation3,renewable59,generation3,potential,123.57685323526859,6.07755015911157,0.04918032786885246,False,['ocean']
60,renewable,0,demand,0.0,,0.0,139.29301220845934,wof17,dem0,Potential connection: Renewable cluster 60 to Demand cluster 0,potential_renewable60-demand0,renewable60,demand0,potential,139.29301220845934,54.505961298962355,0.391304347826087,True,['ocean']
61,renewable,2,generation,0.0,,0.0,217.9292556215219,wof18,gen2,Potential connection: Renewable cluster 61 to Generation cluster 2,potential_renewable61-generation2,renewable61,generation2,potential,217.9292556215219,189.67916692984312,0.8703703703703703,True,['ocean']
62,renewable,2,generation,0.0,,0.0,122.45383011896602,wof19,gen2,Potential connection: Renewable cluster 62 to Generation cluster 2,potential_renewable62-generation2,renewable62,generation2,potential,122.45383011896602,94.34967238674432,0.7704918032786885,True,['ocean']
7,renewable,4,generation,0.0,,0.0,58.3391657396965,sol7,gen4,Potential connection: Renewable cluster 7 to Generation cluster 4,potential_renewable7-generation4,renewable7,generation4,potential,58.3391657396965,0.0,0.0,False,[]
9,renewable,1,generation,0.0,,0.0,136.26914970381895,sol9,gen1,Potential connection: Renewable cluster 9 to Generation cluster 1,potential_renewable9-generation1,renewable9,generation1,potential,136.26914970381895,0.0,0.0,False,[]
